Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Month,WeekDay,Day
Jet Airways,Delhi,Banglore,DEL → BOM → COK,20:00,04:25 10 Jun,26h 35m,1 stop,In-flight meal not included,14924,6,Thursday,6.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,16:00,19:00 10 Jun,27h,1 stop,In-flight meal not included,10577,6,Sunday,9.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678,3,Friday,15.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,18:55,01:30 16 Jun,15h 10m,1 stop,In-flight meal not included,7408,5,Monday,6.0
Air India,Delhi,Cochin,DEL → COK,17:10,17:55,8h 20m,non-stop,No info,6724,6,Monday,24.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,08:55,21:20,12h 25m,1 stop,In-flight meal not included,11087,3,Saturday,9.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 02 Apr,7h 30m,1 stop,No info,13364,4,Monday,1.0
SpiceJet,Delhi,Banglore,DEL → MAA → COK,16:30,11:20,12h 10m,1 stop,No info,6297,5,Sunday,12.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754,5,Monday,6.0
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,05:05,09:25 16 Jun,11h 5m,2 stops,No info,10975,4,Monday,15.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,09:00,01:30 10 May,10h,1 stop,No info,8854,6,Thursday,27.0
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 13 Jun,21h 40m,2 stops,No info,13376,6,Wednesday,12.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 16 May,8h,1 stop,No info,6979,5,Wednesday,15.0
Jet Airways,Mumbai,Cochin,BOM → HYD,06:00,11:50,7h 20m,non-stop,No info,4995,3,Wednesday,27.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 25 May,7h 45m,1 stop,No info,9140,5,Friday,24.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,7354,6,Wednesday,12.0
Air India,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,5438,5,Sunday,12.0
SpiceJet,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3311,5,Tuesday,21.0
IndiGo,Chennai,Banglore,MAA → CCU,16:40,14:00,7h 35m,non-stop,No info,3858,5,Monday,6.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,07:10,12:35 16 Jun,9h,1 stop,In-flight meal not included,10262,3,Sunday,3.0
Jet Airways,Delhi,Delhi,DEL → JAI → BOM → COK,18:55,04:25 10 Jun,3h 5m,2 stops,No info,13014,5,Wednesday,15.0
Air India,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,10413,6,Sunday,9.0
Vistara,Kolkata,Banglore,CCU → DEL → BLR,20:20,10:45 02 May,14h 25m,1 stop,No info,9187,5,Wednesday,1.0
Jet Airways,Kolkata,Kolkata,CCU → DEL → BLR,07:05,21:05,2h 15m,1 stop,No info,12384,3,Saturday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,15898,5,Monday,27.0
Air India,Delhi,Cochin,DEL → BOM → COK,09:00,07:40 19 May,22h 40m,1 stop,No info,8372,5,Saturday,18.0
Vistara,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:45 22 May,17h 45m,1 stop,No info,9187,5,Tuesday,21.0
Vistara,Mumbai,Delhi,BOM → DEL → HYD,21:10,22:55,2h 55m,1 stop,No check-in baggage included,12395,4,Wednesday,24.0
