Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-02,2009,Greenwich,,5187000.0,?,Detached House,3,2,1026.0,1.025953,South
2009-01-02,2009,Norwalk,,480000.0,Single Family,Detached House,3,2,1051.0,1.025953,West
2009-01-02,2009,Waterbury,57890.0,152000.0,Single Family,Detached House,3,2,943.0,1.025953,East
2009-01-02,2009,,44520.0,60000.0,Single Family,Detached House,3,2,1099.0,1.025953,North
2009-01-03,2009,Bridgeport,91071.0,250000.0,Two Family,Duplex,4,2,1213.0,1.025953,South
2009-01-03,2009,Waterbury,68600.0,172000.0,?,Triplex,6,6,2185.0,1.025953,West
2009-01-03,2009,Bridgeport,122150.0,256500.0,Single Family,Detached House,3,1,926.0,1.025953,South
2009-01-03,2009,Greenwich,,800000.0,Single Family,Detached House,3,3,969.0,1.025953,East
2009-01-03,2009,,128870.0,288000.0,Single Family,Detached House,3,3,1072.0,1.025953,South
2009-01-04,2009,Fairfield,264600.0,445000.0,Single Family,Detached House,3,2,977.0,1.025953,East
2009-01-04,2009,Waterbury,83300.0,220000.0,Two Family,Duplex,4,4,1471.0,1.025953,South
2009-01-04,2009,Bridgeport,,410000.0,Two Family,Duplex,4,3,1498.0,1.025953,West
2009-01-05,2009,Greenwich,529900.0,800000.0,Single Family,Detached House,3,2,989.0,1.025953,North
2009-01-05,2009,,93170.0,164900.0,Single Family,Detached House,3,3,948.0,1.025953,West
2009-01-05,2009,Bridgeport,97719.0,265000.0,Two Family,Duplex,4,2,,1.025953,North
2009-01-05,2009,Bridgeport,72730.0,320000.0,?,Duplex,4,2,1328.0,1.025953,North
2009-01-05,2009,Fairfield,361060.0,460000.0,Single Family,Detached House,3,3,,1.025953,North
2009-01-05,2009,Norwalk,186410.0,340000.0,Single Family,Detached House,3,2,933.0,1.025953,East
2009-01-05,2009,Fairfield,499870.0,660000.0,Single Family,Detached House,3,3,940.0,1.025953,North
2009-01-05,2009,Waterbury,74620.0,206500.0,Single Family,Detached House,3,3,966.0,1.025953,South
2009-01-05,2009,Bridgeport,112630.0,235000.0,Two Family,Duplex,4,3,,1.025953,East
2009-01-08,2009,Waterbury,56070.0,75000.0,Two Family,Duplex,4,2,1373.0,1.025953,West
2009-01-08,2009,Waterbury,,162000.0,?,Detached House,3,1,1055.0,1.025953,South
2009-01-08,2009,,38640.0,115000.0,Three Family,Triplex,6,5,2104.0,1.025953,West
2009-01-09,2009,Greenwich,534310.0,687000.0,Two Family,Duplex,4,4,1464.0,1.025953,South
2009-01-09,2009,Waterbury,64680.0,186375.0,Three Family,Triplex,6,4,,1.025953,West
2009-01-10,2009,Waterbury,82320.0,290000.0,Single Family,Detached House,3,2,1038.0,1.025953,North
