user_id,book_id
15,275
29,2304
124,5
94,1239
94,10
149,3156
149,8355
149,7277
167,76
175,3156
175,969
137,1272
207,25
137,8859
162,2938
162,345
162,44
320,969
364,741
142,2231
187,3985
301,383
301,137
187,2757
396,2757
427,7755
439,249
322,9927
399,3792
428,4134
248,9025
495,284
506,5540
506,138
506,784
511,1547
179,1567
530,9240
143,7
143,9070
143,2603
537,1144
542,937
538,57
200,212
564,937
580,4722
580,4327
513,969
585,2967
590,25
590,68
590,22
590,33
590,43
590,3
589,249
605,111
639,22
639,150
656,25
653,1025
662,33
448,1272
448,10
688,187
242,5812
718,1910
718,249
751,5216
654,306
793,1272
697,249
564,5327
9,1582
871,1533
751,9438
892,969
253,249
458,249
900,3464
448,63
779,25
956,3340
989,3787
816,2621
997,5216
997,8355
1033,3792
1038,1928
954,284
1068,225
875,1713
1074,150
1007,155
1061,2499
1091,635
547,1021
1007,171
1007,1025
1111,10
1111,493
7,10
1104,1537
1104,1845
1139,46
1127,284
1175,345
1178,249
756,2757
638,3156
1211,2938
1019,43
869,937
1276,27
875,57
1302,306
1326,1845
533,9754
1346,3187
1350,57
746,345
765,3156
765,1883
638,969
603,2304
1430,196
1453,5
1459,57
1459,22
804,229
1450,225
1474,345
1403,1083
1526,937
1526,46
1476,1928
1526,5327
1571,3187
1584,1021
1584,557
1504,249
547,3187
1626,5670
1582,10
1582,57
1147,25
1537,2297
1650,1618
1650,2940
1650,4320
564,3381
605,867
989,1458
1526,1144
1722,2914
594,150
1124,249
1450,25
1450,27
578,225
1774,71
1147,57
1147,741
84,9606
84,7277
774,171
1744,3788
1582,5
875,1107
875,2938
1820,1567
440,741
1740,2578
1508,1783
1508,138
559,196
1821,46
1528,109
1847,71
1872,8707
1873,10
1873,33
1820,258
1889,33
1889,7
283,111
283,304
283,2028
1886,46
1726,784
1889,1752
1872,303
1872,46
1926,109
1047,68
1582,3634
1926,212
1926,68
1850,148
1549,212
1939,7651
1965,867
1965,1928
1926,25
1926,395
1926,225
1915,4793
1915,1272
1953,2
1926,284
1654,1936
1740,1286
2018,635
1399,284
1935,5
1504,2231
2048,1171
594,3504
1913,258
1913,867
683,8992
1860,1021
2125,493
1283,1083
1726,1486
2148,1529
1740,1749
318,4317
440,7827
2080,43
2080,196
2080,68
2080,108
2080,4317
2080,5330
2080,9025
2080,3985
2080,9754
2080,5355
2080,1051
2080,5216
2080,1581
2036,22
2130,3187
2130,212
1860,212
2291,867
1890,57
1927,43
176,19
2080,1314
2080,5774
2254,225
2254,361
1463,1149
2384,46
2384,9503
2370,867
2384,225
2407,275
360,212
2422,39
2422,4118
429,2820
898,792
1942,1957
2466,361
2407,2914
1847,3504
605,300
605,2883
605,3985
2491,2578
1705,258
1173,784
2478,47
2519,2233
1173,867
1173,249
1173,225
1740,6870
2540,196
1910,33
2565,4057
1713,1021
1068,2231
2485,1426
1779,107
2569,4317
2565,2578
2253,1459
2598,225
1124,2914
590,212
2591,7
2615,3656
2613,969
1124,397
1124,5051
2615,10
875,46
2337,161
2337,230
2593,25
2389,3156
561,303
2662,9503
977,225
2662,493
2292,641
2292,602
2667,997
1111,5215
2715,3504
1903,3943
2701,3156
2687,397
2687,3792
2713,6870
2713,3187
2713,46
1681,2499
1546,3550
2732,586
2732,1087
2692,160
1131,46
1903,147
774,686
774,107
774,2938
1095,57
1903,52
1903,1944
2759,9928
2732,3187
1534,3550
2727,307
2713,111
2258,3187
2796,33
2796,22
669,6870
2827,284
898,71
2260,43
826,741
2844,2657
2747,2304
2747,138
759,1021
2737,1928
2737,1582
912,284
912,395
2713,1458
1270,3187
818,303
2859,1928
2709,57
1095,6998
1095,43
1095,171
1095,471
1095,969
1095,1171
1095,148
2416,46
2853,1547
803,6049
803,3550
2384,150
2907,2233
2907,148
670,306
2944,161
2624,5274
1270,3156
2955,969
2889,2914
2965,2
2965,5
2965,27
2965,24
2965,18
2965,23
2965,25
2951,47
2437,1701
385,6049
2980,588
2980,1963
2981,4317
2981,9021
1845,471
774,230
2756,1021
2995,4793
344,3187
2889,3550
2953,33
3024,5
3028,2
3028,23
3028,25
3028,27
3028,24
3028,18
2939,57
3023,879
2922,284
3035,76
2963,33
2652,10
2162,33
1845,1957
759,150
2853,383
2497,867
1609,1928
3035,7
3029,6322
2934,716
3079,879
2809,3133
2294,19
2294,155
2294,1272
2985,5
3117,439
2985,196
2685,43
3107,3477
3049,3133
2967,306
2747,2638
2427,2184
3094,908
2537,4415
3061,1272
3082,2236
2931,2633
2859,1957
2859,212
175,1021
3079,10
3168,47
462,4577
3029,212
3203,5441
3027,1633
3027,1993
2985,5330
3208,249
3115,57
3214,284
3231,52
2738,230
3245,1993
1681,493
1681,1144
3158,165
3168,111
2809,212
2713,557
3269,249
3269,160
3269,383
2076,969
3272,1783
2824,1391
3290,2938
3290,2710
3290,10
3290,76
3290,171
3293,160
3293,3255
3293,3504
3293,225
3293,6049
3307,1021
3277,7
3277,1272
3318,1021
2361,2028
887,212
3321,57
3345,727
3176,150
3269,212
3301,225
3321,160
3164,8704
2389,741
2068,9111
3301,616
3115,10
2260,571
1497,383
2955,212
2260,192
3354,3788
3313,557
3363,76
3363,43
3363,138
3363,171
3363,10
3254,111
3320,212
3394,969
3321,22
3393,2028
2371,46
3384,5045
3384,25
3384,27
3055,10
3320,1547
3430,225
3430,5
3321,7023
3126,27
2920,1692
3465,1021
3465,57
3393,22
2460,4400
2122,225
3490,10
3490,57
3492,284
3492,1021
3492,3187
2389,63
2389,76
2437,397
3519,1083
2709,3464
3522,3187
338,1928
3409,196
179,908
3554,284
1607,879
109,439
109,867
109,3156
109,395
3563,3026
3169,5
1069,3187
1609,212
3569,10
3126,63
3126,1928
2713,3985
3582,284
3581,5632
3176,635
2240,2
2240,18
2240,24
2240,23
3270,22
2042,557
2995,4249
2995,908
2995,76
3597,3255
3296,46
2704,258
3270,908
3629,110
3458,7797
2554,2231
3617,2028
648,43
3636,395
3636,7
3636,138
1964,1111
3161,5119
3655,22
3094,46
3615,937
3658,1277
2295,3550
3176,1021
3695,7960
3695,111
3693,969
3351,225
2560,1021
3713,19
3713,155
3713,611
3672,439
1649,3187
3168,642
3126,39
3731,867
3731,269
2407,9714
1720,9111
3351,9237
3351,1079
3717,493
3126,22
3758,43
3768,1272
2112,47
1450,908
1450,2991
952,1314
3015,46
2782,4134
3802,212
899,3156
3717,1025
3802,57
2284,3791
3126,171
3668,306
3713,71
3713,257
3635,249
3665,397
3313,879
3857,109
3857,361
1125,258
3747,39
3747,110
3747,165
2477,46
3888,3156
3450,212
2952,3550
2952,3
2952,49
2952,52
3915,111
3916,716
3915,1083
2492,1529
3536,361
1047,8878
463,4057
3845,46
3845,269
3845,57
3845,111
3845,1537
3845,212
3845,6566
3845,1311
3845,76
3845,138
3845,2967
2928,395
3771,8707
3951,879
3738,1414
3964,212
2282,76
3966,383
3713,1928
2879,10
2569,2914
1600,212
774,212
3628,1272
3628,641
3628,602
3628,332
3989,171
1508,361
3628,46
2389,46
1724,2710
65,611
1070,2231
1070,1928
3381,1056
1689,212
295,5327
295,160
4024,111
3877,76
3877,10
3877,171
3877,230
3877,4870
2931,269
1145,5327
2357,212
4024,47
4024,1087
4072,63
4072,230
4072,76
4080,879
2922,46
446,52
4029,564
4049,63
4076,557
295,171
4124,2233
4124,284
892,4057
4147,284
4077,111
3458,3176
3458,2662
4072,5
4167,108
3626,1529
3626,4108
3626,46
3626,3985
4024,46
2662,249
3193,5
3035,111
4188,642
2662,111
2662,22
2662,33
603,5274
573,304
2685,46
1512,150
3906,150
3906,9928
457,27
457,23
457,24
457,18
457,10
457,2
457,5
4221,111
4072,160
3517,1021
3703,3634
4205,3
4205,150
4253,46
4253,383
1287,148
1287,1936
4222,1458
4272,383
4078,397
2275,46
4221,1025
2485,5427
2485,777
2485,3011
4281,1936
1800,46
1800,908
1800,2883
1800,969
1800,1171
1800,212
1800,395
1800,1783
4277,196
4277,160
1356,269
1356,1430
3148,249
4337,2
4344,784
4344,212
952,19
952,155
952,161
3738,5182
2502,249
1845,43
1845,63
4362,46
4202,150
4190,1144
4367,46
4158,46
4158,1021
2483,43
2117,8457
4159,25
4159,27
4384,196
4384,9936
4384,8152
3856,2914
923,1900
3953,937
440,46
256,1567
4382,1083
4382,160
4072,229
4072,518
1846,493
4190,57
4190,225
3697,1537
4466,46
4326,33
4326,57
4480,47
4491,1272
4491,686
4491,552
3126,257
4502,27
4500,5629
4521,212
4530,2914
4474,4793
3966,1459
2361,150
3340,192
2391,3187
4545,269
1609,196
928,3255
229,46
4204,4773
4528,160
4528,9111
4398,25
4567,2089
4592,57
4592,46
4592,635
4592,249
4592,777
4373,111
4567,1272
3628,258
3502,18
3502,24
4551,46
3566,212
4622,1239
3826,588
3826,1963
4488,109
4636,557
1257,196
1257,5
1257,33
1257,225
1257,57
1257,22
2819,225
4653,879
4294,43
4294,229
4294,3418
4294,397
4294,1957
4294,284
4636,8186
3711,269
4072,212
253,212
4229,5
4687,171
4687,76
4687,6190
253,46
4662,5441
4662,381
2223,1021
4567,9714
3422,4199
2320,784
4210,969
4693,493
927,10
4693,22
4693,471
4693,76
4693,969
4693,997
4022,225
709,73
4702,57
4585,56
4725,969
4714,383
2685,284
4000,8355
2038,9176
2260,867
2260,22
803,8547
4619,447
4617,57
4709,5737
3340,2291
4272,10
4272,76
4272,171
4272,230
4272,471
4619,867
4647,603
4647,49
4647,2
4647,23
4647,18
4647,25
4647,27
4647,24
4649,1533
4791,719
4791,7182
4791,1929
250,46
4560,68
2389,2621
4818,111
2617,635
4057,33
4076,63
2854,304
4691,1749
4787,1272
4837,383
4839,225
4839,212
4839,3187
3363,212
4029,2233
3635,6049
4876,4057
4876,10
4880,3550
3061,1547
4553,2028
4553,3910
4553,1233
4553,1827
4553,1774
4553,1975
4553,345
4693,1752
4617,7
4617,46
4617,111
4617,3550
4617,1083
4371,1021
2854,741
4924,447
3638,22
4947,24
295,6259
4953,642
4953,8898
4953,212
4953,3550
4586,8366
1075,937
4278,171
4505,212
3909,25
3909,27
4716,2709
4505,46
1012,1529
4926,5782
4969,1057
3363,2184
3363,1746
4298,395
4906,1303
4421,41
4969,571
3504,1529
4281,383
839,6998
839,5327
4999,439
4586,847
4876,19
3565,867
5028,25
977,3821
3566,602
3566,641
4789,2991
3177,284
2862,719
3620,1783
3620,642
3620,3634
3295,212
4582,1272
3088,1021
